home_team,away_team,tournament,is_neutral,year,month,home_result
United Arab Emirates,Iraq,Friendly,0,2021,1,Draw
Kuwait,Palestine,Friendly,0,2021,1,Loss
Dominican Republic,Puerto Rico,Friendly,0,2021,1,Loss
Guatemala,Puerto Rico,Friendly,0,2021,1,Win
Dominican Republic,Serbia,Friendly,0,2021,1,Draw
Iraq,Kuwait,Friendly,0,2021,1,Win
Panama,Serbia,Friendly,0,2021,1,Draw
United States,Trinidad and Tobago,Friendly,0,2021,1,Win
Jordan,Tajikistan,Friendly,1,2021,2,Win
Jordan,Tajikistan,Friendly,1,2021,2,Loss
Jordan,Uzbekistan,Friendly,1,2021,2,Loss
Guatemala,Nicaragua,Friendly,0,2021,2,Win
Kenya,South Sudan,Friendly,0,2021,3,Win
Kenya,Tanzania,Friendly,0,2021,3,Win
Ethiopia,Malawi,Friendly,0,2021,3,Win
Oman,Jordan,Friendly,1,2021,3,Draw
Belarus,Honduras,Friendly,0,2021,3,Draw
Jordan,Lebanon,Friendly,1,2021,3,Win
Kosovo,Lithuania,Friendly,0,2021,3,Win
Qatar,Luxembourg,Friendly,1,2021,3,Win
Antigua and Barbuda,Montserrat,FIFA World Cup qualification,1,2021,3,Draw
Suriname,Cayman Islands,FIFA World Cup qualification,0,2021,3,Win
Guatemala,Cuba,FIFA World Cup qualification,0,2021,3,Win
Dominican Republic,Dominica,FIFA World Cup qualification,0,2021,3,Win
Saint Kitts and Nevis,Puerto Rico,FIFA World Cup qualification,1,2021,3,Win
Portugal,Azerbaijan,FIFA World Cup qualification,1,2021,3,Win
Serbia,Republic of Ireland,FIFA World Cup qualification,0,2021,3,Win
France,Ukraine,FIFA World Cup qualification,0,2021,3,Draw
Finland,Bosnia and Herzegovina,FIFA World Cup qualification,0,2021,3,Draw
Belgium,Wales,FIFA World Cup qualification,0,2021,3,Win
Estonia,Czech Republic,FIFA World Cup qualification,1,2021,3,Loss
Turkey,Netherlands,FIFA World Cup qualification,0,2021,3,Win
Gibraltar,Norway,FIFA World Cup qualification,0,2021,3,Loss
Latvia,Montenegro,FIFA World Cup qualification,0,2021,3,Loss
Malta,Russia,FIFA World Cup qualification,0,2021,3,Loss
Slovenia,Croatia,FIFA World Cup qualification,0,2021,3,Win
Cyprus,Slovakia,FIFA World Cup qualification,0,2021,3,Draw
Chad,Namibia,African Cup of Nations qualification,0,2021,3,Loss
Guinea,Mali,African Cup of Nations qualification,1,2021,3,Win
South Sudan,Malawi,African Cup of Nations qualification,1,2021,3,Loss
Uganda,Burkina Faso,African Cup of Nations qualification,0,2021,3,Draw
São Tomé and Príncipe,Sudan,African Cup of Nations qualification,0,2021,3,Loss
Rwanda,Mozambique,African Cup of Nations qualification,0,2021,3,Win
Ethiopia,Madagascar,African Cup of Nations qualification,0,2021,3,Win
Bahrain,Syria,Friendly,0,2021,3,Win
India,Oman,Friendly,1,2021,3,Draw
Japan,South Korea,Friendly,0,2021,3,Win
Saudi Arabia,Kuwait,Friendly,0,2021,3,Win
United States,Jamaica,Friendly,1,2021,3,Win
El Salvador,Grenada,FIFA World Cup qualification,0,2021,3,Win
Canada,Bermuda,FIFA World Cup qualification,1,2021,3,Win
Curaçao,Saint Vincent and the Grenadines,FIFA World Cup qualification,0,2021,3,Win
Panama,Barbados,FIFA World Cup qualification,1,2021,3,Win
Haiti,Belize,FIFA World Cup qualification,0,2021,3,Win
Trinidad and Tobago,Guyana,FIFA World Cup qualification,1,2021,3,Win
Spain,Greece,FIFA World Cup qualification,0,2021,3,Draw
Sweden,Georgia,FIFA World Cup qualification,0,2021,3,Win
Bulgaria,Switzerland,FIFA World Cup qualification,0,2021,3,Loss
Italy,Northern Ireland,FIFA World Cup qualification,0,2021,3,Win
Israel,Denmark,FIFA World Cup qualification,0,2021,3,Loss
Scotland,Austria,FIFA World Cup qualification,0,2021,3,Draw
Moldova,Faroe Islands,FIFA World Cup qualification,0,2021,3,Draw
England,San Marino,FIFA World Cup qualification,0,2021,3,Win
Andorra,Albania,FIFA World Cup qualification,0,2021,3,Loss
Hungary,Poland,FIFA World Cup qualification,0,2021,3,Draw
Germany,Iceland,FIFA World Cup qualification,0,2021,3,Win
Liechtenstein,Armenia,FIFA World Cup qualification,0,2021,3,Loss
Romania,North Macedonia,FIFA World Cup qualification,0,2021,3,Win
South Africa,Ghana,African Cup of Nations qualification,0,2021,3,Draw
Gambia,Angola,African Cup of Nations qualification,0,2021,3,Win
Gabon,DR Congo,African Cup of Nations qualification,0,2021,3,Win
Comoros,Togo,African Cup of Nations qualification,0,2021,3,Draw
Kenya,Egypt,African Cup of Nations qualification,0,2021,3,Draw
Botswana,Zimbabwe,African Cup of Nations qualification,0,2021,3,Loss
Zambia,Algeria,African Cup of Nations qualification,0,2021,3,Draw
Equatorial Guinea,Tanzania,African Cup of Nations qualification,0,2021,3,Win
Libya,Tunisia,African Cup of Nations qualification,0,2021,3,Loss
Tajikistan,Mongolia,FIFA World Cup qualification,0,2021,3,Win
Chile,Bolivia,Friendly,0,2021,3,Win
Burundi,Central African Republic,African Cup of Nations qualification,0,2021,3,Draw
Mauritania,Morocco,African Cup of Nations qualification,0,2021,3,Draw
Cape Verde,Cameroon,African Cup of Nations qualification,0,2021,3,Win
Eswatini,Guinea-Bissau,African Cup of Nations qualification,0,2021,3,Loss
Congo,Senegal,African Cup of Nations qualification,0,2021,3,Draw
Niger,Ivory Coast,African Cup of Nations qualification,1,2021,3,Loss
Bosnia and Herzegovina,Costa Rica,Friendly,0,2021,3,Draw
Nepal,Bangladesh,Friendly,0,2021,3,Draw
Qatar,Azerbaijan,Friendly,1,2021,3,Win
Wales,Mexico,Friendly,0,2021,3,Win
United States Virgin Islands,Antigua and Barbuda,FIFA World Cup qualification,0,2021,3,Loss
Aruba,Suriname,FIFA World Cup qualification,1,2021,3,Loss
British Virgin Islands,Guatemala,FIFA World Cup qualification,1,2021,3,Loss
Anguilla,Dominican Republic,FIFA World Cup qualification,1,2021,3,Loss
Turks and Caicos Islands,Nicaragua,FIFA World Cup qualification,1,2021,3,Loss
Bahamas,Saint Kitts and Nevis,FIFA World Cup qualification,0,2021,3,Loss
Republic of Ireland,Luxembourg,FIFA World Cup qualification,0,2021,3,Loss
Serbia,Portugal,FIFA World Cup qualification,0,2021,3,Draw
Belarus,Estonia,FIFA World Cup qualification,0,2021,3,Win
Czech Republic,Belgium,FIFA World Cup qualification,0,2021,3,Draw
Montenegro,Gibraltar,FIFA World Cup qualification,0,2021,3,Win
Netherlands,Latvia,FIFA World Cup qualification,0,2021,3,Win
Norway,Turkey,FIFA World Cup qualification,1,2021,3,Loss
Russia,Slovenia,FIFA World Cup qualification,0,2021,3,Win
Croatia,Cyprus,FIFA World Cup qualification,0,2021,3,Win
Slovakia,Malta,FIFA World Cup qualification,0,2021,3,Draw
Lesotho,Sierra Leone,African Cup of Nations qualification,0,2021,3,Draw
Benin,Nigeria,African Cup of Nations qualification,0,2021,3,Loss
Greece,Honduras,Friendly,0,2021,3,Win
Northern Ireland,United States,Friendly,0,2021,3,Loss
Montserrat,El Salvador,FIFA World Cup qualification,1,2021,3,Draw
Cuba,Curaçao,FIFA World Cup qualification,1,2021,3,Loss
Dominica,Panama,FIFA World Cup qualification,1,2021,3,Loss
Puerto Rico,Trinidad and Tobago,FIFA World Cup qualification,0,2021,3,Draw
Georgia,Spain,FIFA World Cup qualification,0,2021,3,Loss
Kosovo,Sweden,FIFA World Cup qualification,0,2021,3,Loss
Switzerland,Lithuania,FIFA World Cup qualification,0,2021,3,Win
Bulgaria,Italy,FIFA World Cup qualification,0,2021,3,Loss
Kazakhstan,France,FIFA World Cup qualification,0,2021,3,Loss
Ukraine,Finland,FIFA World Cup qualification,0,2021,3,Draw
Denmark,Moldova,FIFA World Cup qualification,0,2021,3,Win
Austria,Faroe Islands,FIFA World Cup qualification,0,2021,3,Win
Israel,Scotland,FIFA World Cup qualification,0,2021,3,Draw
Albania,England,FIFA World Cup qualification,0,2021,3,Loss
Poland,Andorra,FIFA World Cup qualification,0,2021,3,Win
San Marino,Hungary,FIFA World Cup qualification,0,2021,3,Loss
Armenia,Iceland,FIFA World Cup qualification,0,2021,3,Win
North Macedonia,Liechtenstein,FIFA World Cup qualification,0,2021,3,Win
Romania,Germany,FIFA World Cup qualification,0,2021,3,Loss
Namibia,Guinea,African Cup of Nations qualification,0,2021,3,Win
Mali,Chad,African Cup of Nations qualification,0,2021,3,Win
Ghana,São Tomé and Príncipe,African Cup of Nations qualification,0,2021,3,Win
Sudan,South Africa,African Cup of Nations qualification,0,2021,3,Win
Tunisia,Equatorial Guinea,African Cup of Nations qualification,0,2021,3,Win
Tanzania,Libya,African Cup of Nations qualification,0,2021,3,Win
Ecuador,Bolivia,Friendly,0,2021,3,Win
Kuwait,Lebanon,Friendly,1,2021,3,Draw
Nepal,Bangladesh,Friendly,0,2021,3,Win
Uzbekistan,Iraq,Friendly,0,2021,3,Loss
Cayman Islands,Canada,FIFA World Cup qualification,1,2021,3,Loss
Burkina Faso,South Sudan,African Cup of Nations qualification,0,2021,3,Win
Malawi,Uganda,African Cup of Nations qualification,0,2021,3,Win
Angola,Gabon,African Cup of Nations qualification,0,2021,3,Win
DR Congo,Gambia,African Cup of Nations qualification,0,2021,3,Win
Togo,Kenya,African Cup of Nations qualification,0,2021,3,Loss
Egypt,Comoros,African Cup of Nations qualification,0,2021,3,Win
Algeria,Botswana,African Cup of Nations qualification,0,2021,3,Win
Zimbabwe,Zambia,African Cup of Nations qualification,0,2021,3,Loss
United Arab Emirates,India,Friendly,0,2021,3,Win
Bahrain,Jordan,Friendly,0,2021,3,Loss
Costa Rica,Mexico,Friendly,1,2021,3,Loss
Iran,Syria,Friendly,0,2021,3,Win
Republic of Ireland,Qatar,Friendly,1,2021,3,Draw
Grenada,United States Virgin Islands,FIFA World Cup qualification,0,2021,3,Win
Bermuda,Aruba,FIFA World Cup qualification,1,2021,3,Win
Saint Vincent and the Grenadines,British Virgin Islands,FIFA World Cup qualification,1,2021,3,Win
Barbados,Anguilla,FIFA World Cup qualification,1,2021,3,Win
Belize,Turks and Caicos Islands,FIFA World Cup qualification,1,2021,3,Win
Guyana,Bahamas,FIFA World Cup qualification,1,2021,3,Win
Azerbaijan,Serbia,FIFA World Cup qualification,0,2021,3,Loss
Luxembourg,Portugal,FIFA World Cup qualification,0,2021,3,Loss
Wales,Czech Republic,FIFA World Cup qualification,0,2021,3,Win
Belgium,Belarus,FIFA World Cup qualification,0,2021,3,Win
Gibraltar,Netherlands,FIFA World Cup qualification,0,2021,3,Loss
Montenegro,Norway,FIFA World Cup qualification,0,2021,3,Loss
Turkey,Latvia,FIFA World Cup qualification,0,2021,3,Draw
Cyprus,Slovenia,FIFA World Cup qualification,0,2021,3,Win
Croatia,Malta,FIFA World Cup qualification,0,2021,3,Win
Slovakia,Russia,FIFA World Cup qualification,0,2021,3,Win
Saudi Arabia,Palestine,FIFA World Cup qualification,0,2021,3,Win
Japan,Mongolia,FIFA World Cup qualification,0,2021,3,Win
Central African Republic,Mauritania,African Cup of Nations qualification,0,2021,3,Loss
Morocco,Burundi,African Cup of Nations qualification,0,2021,3,Win
Cameroon,Rwanda,African Cup of Nations qualification,0,2021,3,Draw
Mozambique,Cape Verde,African Cup of Nations qualification,0,2021,3,Loss
Guinea-Bissau,Congo,African Cup of Nations qualification,0,2021,3,Win
Senegal,Eswatini,African Cup of Nations qualification,0,2021,3,Draw
Ivory Coast,Ethiopia,African Cup of Nations qualification,0,2021,3,Win
Madagascar,Niger,African Cup of Nations qualification,0,2021,3,Draw
Nigeria,Lesotho,African Cup of Nations qualification,0,2021,3,Win
Sweden,Estonia,Friendly,0,2021,3,Win
Switzerland,Finland,Friendly,0,2021,3,Win
Spain,Kosovo,FIFA World Cup qualification,0,2021,3,Win
Greece,Georgia,FIFA World Cup qualification,0,2021,3,Draw
Northern Ireland,Bulgaria,FIFA World Cup qualification,0,2021,3,Draw
Lithuania,Italy,FIFA World Cup qualification,0,2021,3,Loss
Bosnia and Herzegovina,France,FIFA World Cup qualification,0,2021,3,Loss
Ukraine,Kazakhstan,FIFA World Cup qualification,0,2021,3,Draw
Scotland,Faroe Islands,FIFA World Cup qualification,0,2021,3,Win
Austria,Denmark,FIFA World Cup qualification,0,2021,3,Loss
Moldova,Israel,FIFA World Cup qualification,0,2021,3,Loss
England,Poland,FIFA World Cup qualification,0,2021,3,Win
Andorra,Hungary,FIFA World Cup qualification,0,2021,3,Loss
San Marino,Albania,FIFA World Cup qualification,0,2021,3,Loss
Armenia,Romania,FIFA World Cup qualification,0,2021,3,Win
Germany,North Macedonia,FIFA World Cup qualification,0,2021,3,Loss
Liechtenstein,Iceland,FIFA World Cup qualification,0,2021,3,Loss
Ukraine,Bahrain,Friendly,0,2021,5,Draw
Iraq,Tajikistan,Friendly,0,2021,5,Draw
United Arab Emirates,Jordan,Friendly,0,2021,5,Win
Indonesia,Afghanistan,Friendly,1,2021,5,Loss
Oman,Thailand,Friendly,1,2021,5,Win
Turkey,Azerbaijan,Friendly,0,2021,5,Win
Bahrain,Malaysia,Friendly,0,2021,5,Win
Italy,San Marino,Friendly,0,2021,5,Win
Japan,Myanmar,FIFA World Cup qualification,0,2021,5,Win
Indonesia,Oman,Friendly,1,2021,5,Loss
Iraq,Nepal,Friendly,0,2021,5,Win
Mexico,Iceland,Friendly,1,2021,5,Win
Singapore,Afghanistan,Friendly,1,2021,5,Draw
Sweden,Finland,Friendly,0,2021,5,Win
Thailand,Tajikistan,Friendly,1,2021,5,Draw
Malta,Northern Ireland,Friendly,1,2021,5,Loss
Switzerland,United States,Friendly,0,2021,5,Win
China,Guam,FIFA World Cup qualification,0,2021,5,Win
Jordan,Vietnam,Friendly,1,2021,5,Draw
Turkey,Guinea,Friendly,0,2021,5,Draw
Croatia,Armenia,Friendly,0,2021,6,Draw
Kosovo,San Marino,Friendly,0,2021,6,Win
North Macedonia,Slovenia,Friendly,0,2021,6,Draw
Poland,Russia,Friendly,0,2021,6,Draw
Slovakia,Bulgaria,Friendly,1,2021,6,Draw
Lithuania,Estonia,Baltic Cup,0,2021,6,Loss
Belarus,Azerbaijan,Friendly,0,2021,6,Loss
Bosnia and Herzegovina,Montenegro,Friendly,0,2021,6,Draw
England,Austria,Friendly,0,2021,6,Win
France,Wales,Friendly,0,2021,6,Win
Germany,Denmark,Friendly,1,2021,6,Draw
Mozambique,Lesotho,Friendly,0,2021,6,Win
Netherlands,Scotland,Friendly,1,2021,6,Draw
Norway,Luxembourg,Friendly,1,2021,6,Win
Romania,Georgia,Friendly,0,2021,6,Loss
Montserrat,United States Virgin Islands,FIFA World Cup qualification,1,2021,6,Win
Cayman Islands,Aruba,FIFA World Cup qualification,1,2021,6,Loss
Cuba,British Virgin Islands,FIFA World Cup qualification,1,2021,6,Win
Dominica,Anguilla,FIFA World Cup qualification,1,2021,6,Win
Puerto Rico,Bahamas,FIFA World Cup qualification,0,2021,6,Win
Algeria,Mauritania,Friendly,0,2021,6,Win
Andorra,Republic of Ireland,Friendly,0,2021,6,Loss
Belgium,Greece,Friendly,0,2021,6,Draw
Switzerland,Liechtenstein,Friendly,0,2021,6,Win
Turkey,Moldova,Friendly,1,2021,6,Win
Ukraine,Northern Ireland,Friendly,0,2021,6,Win
Mexico,Costa Rica,CONCACAF Nations League,1,2021,6,Draw
United States,Honduras,CONCACAF Nations League,0,2021,6,Win
Nepal,Taiwan,FIFA World Cup qualification,1,2021,6,Win
Iran,Hong Kong,FIFA World Cup qualification,0,2021,6,Win
Bahrain,Cambodia,FIFA World Cup qualification,0,2021,6,Win
Palestine,Singapore,FIFA World Cup qualification,1,2021,6,Win
Bangladesh,Afghanistan,FIFA World Cup qualification,1,2021,6,Draw
United Arab Emirates,Malaysia,FIFA World Cup qualification,0,2021,6,Win
Thailand,Indonesia,FIFA World Cup qualification,1,2021,6,Draw
Bolivia,Venezuela,FIFA World Cup qualification,0,2021,6,Win
Uruguay,Paraguay,FIFA World Cup qualification,0,2021,6,Draw
Argentina,Chile,FIFA World Cup qualification,0,2021,6,Draw
Peru,Colombia,FIFA World Cup qualification,0,2021,6,Loss
Kuwait,Australia,FIFA World Cup qualification,0,2021,6,Loss
Qatar,India,FIFA World Cup qualification,0,2021,6,Win
Faroe Islands,Iceland,Friendly,0,2021,6,Loss
Finland,Estonia,Friendly,0,2021,6,Loss
Hungary,Cyprus,Friendly,0,2021,6,Win
Italy,Czech Republic,Friendly,0,2021,6,Win
Kosovo,Malta,Friendly,1,2021,6,Win
Nigeria,Cameroon,Friendly,1,2021,6,Loss
North Macedonia,Kazakhstan,Friendly,0,2021,6,Win
Rwanda,Central African Republic,Friendly,0,2021,6,Win
Slovenia,Gibraltar,Friendly,0,2021,6,Win
Spain,Portugal,Friendly,0,2021,6,Draw
Latvia,Lithuania,Baltic Cup,0,2021,6,Win
Maldives,Syria,FIFA World Cup qualification,1,2021,6,Loss
Antigua and Barbuda,Grenada,FIFA World Cup qualification,0,2021,6,Win
Suriname,Bermuda,FIFA World Cup qualification,0,2021,6,Win
Guatemala,Saint Vincent and the Grenadines,FIFA World Cup qualification,0,2021,6,Win
Dominican Republic,Barbados,FIFA World Cup qualification,0,2021,6,Draw
Nicaragua,Belize,FIFA World Cup qualification,0,2021,6,Win
Saint Kitts and Nevis,Guyana,FIFA World Cup qualification,0,2021,6,Win
Brazil,Ecuador,FIFA World Cup qualification,0,2021,6,Win
Guinea,Togo,Friendly,1,2021,6,Loss
Ivory Coast,Burkina Faso,Friendly,0,2021,6,Win
Montenegro,Israel,Friendly,0,2021,6,Loss
Niger,Gambia,Friendly,1,2021,6,Loss
Russia,Bulgaria,Friendly,0,2021,6,Win
Senegal,Zambia,Friendly,0,2021,6,Win
Sweden,Armenia,Friendly,0,2021,6,Win
Tunisia,DR Congo,Friendly,0,2021,6,Win
Wales,Albania,Friendly,0,2021,6,Draw
Saudi Arabia,Yemen,FIFA World Cup qualification,0,2021,6,Win
Lebanon,Sri Lanka,FIFA World Cup qualification,1,2021,6,Win
South Korea,Turkmenistan,FIFA World Cup qualification,0,2021,6,Win
United States Virgin Islands,El Salvador,FIFA World Cup qualification,0,2021,6,Loss
Aruba,Canada,FIFA World Cup qualification,1,2021,6,Loss
British Virgin Islands,Curaçao,FIFA World Cup qualification,1,2021,6,Loss
Panama,Anguilla,FIFA World Cup qualification,0,2021,6,Win
