home_team,away_team,tournament,is_neutral,year,month,home_roll_goals_for_5,home_roll_goals_against_5,away_roll_goals_for_5,away_roll_goals_against_5,home_roll_unique_scorers_5,away_roll_unique_scorers_5,home_roll_penalty_goals_5,away_roll_penalty_goals_5,home_result
United Arab Emirates,Iraq,Friendly,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Kuwait,Palestine,Friendly,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Dominican Republic,Puerto Rico,Friendly,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Guatemala,Puerto Rico,Friendly,0,2021,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win
Dominican Republic,Serbia,Friendly,0,2021,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Iraq,Kuwait,Friendly,0,2021,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win
Panama,Serbia,Friendly,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
United States,Trinidad and Tobago,Friendly,0,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Jordan,Tajikistan,Friendly,1,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Jordan,Tajikistan,Friendly,1,2021,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Loss
Jordan,Uzbekistan,Friendly,1,2021,2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Guatemala,Nicaragua,Friendly,0,2021,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Kenya,South Sudan,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Kenya,Tanzania,Friendly,0,2021,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Ethiopia,Malawi,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Oman,Jordan,Friendly,1,2021,3,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,Draw
Belarus,Honduras,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Jordan,Lebanon,Friendly,1,2021,3,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,Win
Kosovo,Lithuania,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Qatar,Luxembourg,Friendly,1,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Antigua and Barbuda,Montserrat,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,1.4,1.2,0.2,0.0,Draw
Suriname,Cayman Islands,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Win
Guatemala,Cuba,FIFA World Cup qualification,0,2021,3,1.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,Win
Dominican Republic,Dominica,FIFA World Cup qualification,0,2021,3,0.0,0.5,0.0,0.0,1.8,0.0,0.0,0.0,Win
Saint Kitts and Nevis,Puerto Rico,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.5,0.5,2.4,0.0,0.2,0.0,Win
Portugal,Azerbaijan,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,Win
Serbia,Republic of Ireland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.8,1.2,0.2,0.0,Win
France,Ukraine,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.2,1.4,0.2,0.2,Draw
Finland,Bosnia and Herzegovina,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,1.2,0.0,0.2,Draw
Belgium,Wales,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.2,1.4,0.4,0.0,Win
Estonia,Czech Republic,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,1.2,1.8,0.2,0.2,Loss
Turkey,Netherlands,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.6,1.8,0.4,0.2,Win
Gibraltar,Norway,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,Loss
Latvia,Montenegro,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.6,1.6,0.4,0.2,Loss
Malta,Russia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.6,2.6,0.0,0.2,Loss
Slovenia,Croatia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.6,0.0,0.6,0.0,Win
Cyprus,Slovakia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Chad,Namibia,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Guinea,Mali,African Cup of Nations qualification,1,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
South Sudan,Malawi,African Cup of Nations qualification,1,2021,3,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,Loss
Uganda,Burkina Faso,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
São Tomé and Príncipe,Sudan,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Rwanda,Mozambique,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Ethiopia,Madagascar,African Cup of Nations qualification,0,2021,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Bahrain,Syria,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
India,Oman,Friendly,1,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Japan,South Korea,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Saudi Arabia,Kuwait,Friendly,0,2021,3,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,Win
United States,Jamaica,Friendly,1,2021,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
El Salvador,Grenada,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,Win
Canada,Bermuda,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4,Win
Curaçao,Saint Vincent and the Grenadines,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.0,Win
Panama,Barbados,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Win
Haiti,Belize,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,Win
Trinidad and Tobago,Guyana,FIFA World Cup qualification,1,2021,3,0.0,7.0,0.0,0.0,1.2,0.0,0.2,0.0,Win
Spain,Greece,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,1.8,0.2,0.2,Draw
Sweden,Georgia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Win
Bulgaria,Switzerland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.2,2.0,0.2,0.0,Loss
Italy,Northern Ireland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.0,Win
Israel,Denmark,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.6,Loss
